method,facet_id,domain_id,subdomain_id,pool_count_pre,pool_count_post,selected_count,fail_lang,fail_len,warn_len,mean_pairwise_dist,min_pairwise_dist
gemma,7.3.3,7,7.3,41,41,25,0,0,0,0.5122782588005066,0.24244415760040283
gemma,8.1.1,8,8.1,41,41,25,0,0,0,0.594403862953186,0.1942824125289917
gemma,8.1.2,8,8.1,41,41,25,0,0,0,0.6507331132888794,0.2531493902206421
gemma,8.1.3,8,8.1,41,41,25,0,0,0,0.5500643253326416,0.18806475400924683
gemma,8.1.4,8,8.1,41,41,25,0,0,0,0.6301941275596619,0.26220864057540894
gemma,8.1.5,8,8.1,41,41,25,0,0,0,0.509766161441803,0.18340837955474854
gemma,8.2.1,8,8.2,45,45,25,0,0,0,0.6064824461936951,0.16688799858093262
gemma,8.2.2,8,8.2,41,41,25,0,0,0,0.6517149806022644,0.18520164489746094
gemma,8.2.3,8,8.2,41,41,25,0,0,0,0.6025165915489197,0.196194589138031
gemma,8.2.4,8,8.2,41,41,25,0,0,0,0.6875601410865784,0.3514736294746399
gemma,8.2.5,8,8.2,41,41,25,0,0,0,0.6057283282279968,0.28302133083343506
gemma,9.1.1,9,9.1,48,48,25,0,0,0,0.511481523513794,0.200592041015625
gemma,9.1.2,9,9.1,41,40,25,0,0,0,0.5107447504997253,0.1969051957130432
gemma,9.1.3,9,9.1,41,41,25,0,0,0,0.4992928206920624,0.20609444379806519
gemma,9.1.4,9,9.1,41,41,25,0,0,0,0.5427082180976868,0.21852093935012817
gemma,9.2.1,9,9.2,41,41,25,0,0,0,0.6889618039131165,0.22505563497543335
gemma,9.2.2,9,9.2,41,41,25,0,0,0,0.6553145051002502,0.12093234062194824
gemma,9.2.3,9,9.2,40,40,25,0,0,0,0.7360919713973999,0.2590214014053345
gemma,9.2.4,9,9.2,41,41,25,0,0,0,0.5740966796875,0.19795942306518555
gemma,9.2.5,9,9.2,53,53,25,0,0,0,0.6054446697235107,0.223122239112854
gemma,9.3.1,9,9.3,40,40,25,0,0,0,0.5582708120346069,0.22011619806289673
gemma,9.3.2,9,9.3,53,53,25,0,0,0,0.6042230129241943,0.1664057970046997
gemma,9.3.3,9,9.3,41,41,25,0,0,0,0.5270470976829529,0.2537524700164795
gemma,9.3.4,9,9.3,41,41,25,0,0,0,0.49935683608055115,0.17800676822662354
gemma,9.3.5,9,9.3,41,41,25,0,0,0,0.4594278037548065,0.07685691118240356
gemma,1.1.4,1,1.1,56,56,27,0,0,0,0.5224987268447876,0.1408214569091797
gemma,1.1.2,1,1.1,54,54,27,0,0,0,0.5018407702445984,0.16664338111877441
gemma,1.1.3,1,1.1,56,56,27,0,0,0,0.4955729842185974,0.17371481657028198
gemma,1.1.1,1,1.1,53,52,27,0,0,0,0.4942387044429779,0.18075865507125854
gemma,1.1.6,1,1.1,53,53,27,0,0,0,0.4838150441646576,0.13383299112319946
gemma,1.1.7,1,1.1,56,56,27,0,0,0,0.6154627203941345,0.22383320331573486
gemma,1.2.1,1,1.2,55,55,27,0,0,0,0.7458239793777466,0.1849856972694397
gemma,1.1.5,1,1.1,54,54,27,0,0,0,0.49155694246292114,0.17189770936965942
gemma,1.2.4,1,1.2,63,62,27,0,0,0,0.6411464810371399,0.13645201921463013
gemma,1.2.2,1,1.2,57,57,27,0,0,0,0.549626350402832,0.2592458128929138
gemma,1.2.3,1,1.2,53,53,27,0,0,0,0.5261591076850891,0.2302672266960144
gemma,1.3.1,1,1.3,53,53,27,0,0,0,0.4188510775566101,0.10150623321533203
gemma,1.3.3,1,1.3,57,57,27,0,0,0,0.6902945637702942,0.25787508487701416
gemma,2.1.1,2,2.1,54,54,27,0,0,0,0.6621410250663757,0.2070918083190918
gemma,1.3.2,1,1.3,55,55,27,0,0,0,0.6196704506874084,0.18240880966186523
gemma,1.3.4,1,1.3,57,57,27,0,0,0,0.5164912939071655,0.17847955226898193
gemma,2.1.5,2,2.1,56,56,27,0,0,0,0.7048091888427734,0.21063393354415894
gemma,2.1.2,2,2.1,57,57,27,0,0,0,0.6390003561973572,0.26468461751937866
gemma,2.1.3,2,2.1,57,56,27,0,0,0,0.6628866195678711,0.22872960567474365
gemma,2.1.4,2,2.1,57,57,27,0,0,0,0.6231215000152588,0.1320197582244873
gemma,2.2.2,2,2.2,53,53,27,0,0,0,0.693859875202179,0.2368517518043518
gemma,2.2.4,2,2.2,54,54,27,0,0,0,0.722900390625,0.26405447721481323
gemma,2.2.1,2,2.2,57,57,27,0,0,0,0.6679306030273438,0.23834919929504395
gemma,2.2.3,2,2.2,56,56,27,0,0,0,0.6342790126800537,0.1646636724472046
gemma,2.3.1,2,2.3,57,57,27,0,0,0,0.599926233291626,0.1946975588798523
gemma,2.3.2,2,2.3,55,55,27,0,0,0,0.6515608429908752,0.2446112036705017
gemma,2.3.3,2,2.3,57,57,27,0,0,0,0.614360511302948,0.2192971110343933
gemma,2.3.4,2,2.3,55,55,27,0,0,0,0.6774565577507019,0.18211179971694946
gemma,3.1.4,3,3.1,53,53,27,0,0,0,0.6742443442344666,0.2671133279800415
gemma,3.1.3,3,3.1,55,55,27,0,0,0,0.5882027745246887,0.15436261892318726
gemma,3.1.2,3,3.1,56,56,27,0,0,0,0.5706282258033752,0.18537139892578125
gemma,3.1.1,3,3.1,55,55,27,0,0,0,0.6485695838928223,0.2926446199417114
gemma,3.2.1,3,3.2,56,55,27,0,0,0,0.6872046589851379,0.19302940368652344
gemma,3.2.2,3,3.2,56,56,27,0,0,0,0.619261622428894,0.21402519941329956
gemma,3.2.4,3,3.2,56,55,27,0,0,0,0.5997542142868042,0.10408258438110352
gemma,3.2.3,3,3.2,57,57,27,0,0,0,0.6058812141418457,0.2008988857269287
gemma,3.3.4,3,3.3,57,57,27,0,0,0,0.4712989628314972,0.18537741899490356
gemma,3.3.2,3,3.3,55,55,27,0,0,0,0.5459609627723694,0.1798134446144104
gemma,3.3.1,3,3.3,55,55,27,0,0,0,0.5389126539230347,0.16823232173919678
gemma,3.3.3,3,3.3,57,57,27,0,0,0,0.5913543105125427,0.16868489980697632
gemma,4.1.1,4,4.1,62,62,27,0,0,0,0.5913212299346924,0.16330397129058838
gemma,4.1.3,4,4.1,54,54,27,0,0,0,0.6535949110984802,0.18215811252593994
gemma,4.1.4,4,4.1,57,57,27,0,0,0,0.5121544003486633,0.1815117597579956
gemma,4.1.2,4,4.1,56,56,27,0,0,0,0.5993874669075012,0.18078571557998657
gemma,4.2.2,4,4.2,55,55,27,0,0,0,0.6110632419586182,0.18429988622665405
gemma,4.2.3,4,4.2,52,52,27,0,0,0,0.6204630136489868,0.16453105211257935
gemma,4.2.1,4,4.2,57,57,27,0,0,0,0.5265950560569763,0.05511355400085449
gemma,4.2.4,4,4.2,57,57,27,0,0,0,0.5955832004547119,0.1570187211036682
gemma,4.3.3,4,4.3,48,46,27,0,0,0,0.6834391951560974,0.13620907068252563
gemma,4.3.2,4,4.3,48,48,27,0,0,0,0.6478511095046997,0.24106961488723755
gemma,4.2.5,4,4.2,57,57,27,0,0,0,0.6430969834327698,0.22388720512390137
gemma,4.3.1,4,4.3,55,55,27,0,0,0,0.6929298043251038,0.2511022686958313
gemma,4.3.5,4,4.3,53,53,27,0,0,0,0.7214686870574951,0.17006021738052368
gemma,5.1.1,5,5.1,55,55,27,0,0,0,0.5618749856948853,0.19858789443969727
gemma,4.3.4,4,4.3,57,57,27,0,0,0,0.6762589812278748,0.28891080617904663
gemma,5.1.2,5,5.1,57,57,27,0,0,0,0.5829251408576965,0.23123377561569214
gemma,5.1.4,5,5.1,48,48,27,0,0,0,0.4781024754047394,0.16623646020889282
gemma,5.1.3,5,5.1,57,57,27,0,0,0,0.5167741775512695,0.16517776250839233
gemma,5.1.5,5,5.1,57,57,27,0,0,0,0.6052634716033936,0.20477324724197388
gemma,5.2.1,5,5.2,57,57,27,0,0,0,0.5509259104728699,0.2121894359588623
gemma,5.3.1,5,5.3,53,53,27,0,0,0,0.4958125352859497,0.16929179430007935
gemma,5.2.3,5,5.2,57,57,27,0,0,0,0.48186585307121277,0.13466942310333252
gemma,5.2.2,5,5.2,56,56,27,0,0,0,0.5973551869392395,0.23445695638656616
gemma,5.2.4,5,5.2,55,55,27,0,0,0,0.5834254622459412,0.19105303287506104
gemma,5.3.2,5,5.3,57,57,27,0,0,0,0.5403479337692261,0.22811198234558105
gemma,5.3.4,5,5.3,56,56,27,0,0,0,0.5525855422019958,0.1766001582145691
gemma,5.3.3,5,5.3,54,54,27,0,0,0,0.5492005348205566,0.22454005479812622
gemma,6.1.1,6,6.1,57,57,27,0,0,0,0.5340316891670227,0.15533512830734253
